ModuleNo,RefID,PartNo,WindNo,2023-07-06 14:02:31(1M232700046),2023-07-06 13:50:09(1M232700047),Total,Average,Stdevp,Stdev,CP,CPK,GageRnR,Min,Max,Max-min,Count
1,X62400,6704,1,0,0.0298,0.0298,0.0149,0.0149,0.02107,1118.56823,-1118.2349,0.0447,0,0.0298,0.0298,2
1,X63400,6705,1,0.1648,0.2249,0.3897,0.19485,0.03005,0.0425,554.63117,-552.46977,0.09015,0.1648,0.2249,0.0601,2
1,X64400,6706,1,0.0373,0.0673,0.1046,0.0523,0.015,0.02121,1111.11111,-1109.94889,0.045,0.0373,0.0673,0.03,2
1,X65400,6707,1,0.1198,0.0823,0.2021,0.10105,0.01875,0.02652,888.88889,-887.09244,0.05625,0.0823,0.1198,0.0375,2
1,X60200,6708,1,0.1723,0.1198,0.2921,0.14605,0.02625,0.03712,634.92063,-633.06603,0.07875,0.1198,0.1723,0.0525,2
1,X61200,6709,1,0.1198,0.1423,0.2621,0.13105,0.01125,0.01591,1481.48148,-1477.59852,0.03375,0.1198,0.1423,0.0225,2
1,X62200,6710,1,0.1798,0.3824,0.5622,0.2811,0.1013,0.14326,164.52781,-163.60283,0.3039,0.1798,0.3824,0.2026,2
1,X63200,6711,1,0.0973,-0.0375,0.0598,0.0299,0.0674,0.09532,247.27992,-247.13205,0.2022,-0.0375,0.0973,0.1348,2
1,X64200,6712,1,0.2624,0.1198,0.3822,0.1911,0.0713,0.10083,233.75409,-232.86068,0.2139,0.1198,0.2624,0.1426,2
1,X65200,6713,1,0.0073,-0.1426,-0.1353,-0.06765,0.07495,0.106,222.37047,-222.67134,0.22485,-0.1426,0.0073,0.1499,2
1,X66200,6714,1,0.1648,-0.0075,0.1573,0.07865,0.08615,0.12183,193.46102,-193.1567,0.25845,-0.0075,0.1648,0.1723,2
1,X60400,6715,1,0.0448,0.1123,0.1571,0.07855,0.03375,0.04773,493.82716,-493.05136,0.10125,0.0448,0.1123,0.0675,2
1,X61400,6716,1,0.1948,0.3224,0.5172,0.2586,0.0638,0.09023,261.23302,-259.88192,0.1914,0.1948,0.3224,0.1276,2
1,X60600,6717,1,0.0598,0.2098,0.2696,0.1348,0.075,0.10607,222.22222,-221.62311,0.225,0.0598,0.2098,0.15,2
1,X61600,6718,1,-0.0075,-0.1576,-0.1651,-0.08255,0.07505,0.10614,222.07417,-222.44082,0.22515,-0.1576,-0.0075,0.1501,2
1,X62600,6719,1,0.0898,0.0523,0.1421,0.07105,0.01875,0.02652,888.88889,-887.62578,0.05625,0.0523,0.0898,0.0375,2
1,X63600,6720,1,-0.045,-0.1501,-0.1951,-0.09755,0.05255,0.07432,317.15826,-317.77704,0.15765,-0.1501,-0.045,0.1051,2
1,X64600,6721,1,0.1873,0.2023,0.3896,0.1948,0.0075,0.01061,2222.22222,-2213.56444,0.0225,0.1873,0.2023,0.015,2
1,X65600,6722,1,0.0073,0.0073,0.0146,0.0073,0,0,0,0,0,0.0073,0.0073,0,2
1,X60000,6723,1,-0.0525,0.0298,-0.0227,-0.01135,0.04115,0.05819,405.02228,-405.11422,0.12345,-0.0525,0.0298,0.0823,2
1,X61000,6724,1,0.1123,0.2324,0.3447,0.17235,0.06005,0.08492,277.54649,-276.58979,0.18015,0.1123,0.2324,0.1201,2
1,X62000,6725,1,-0.0075,-0.0375,-0.045,-0.0225,0.015,0.02121,1111.11111,-1111.61111,0.045,-0.0375,-0.0075,0.03,2
